area_statistica,zona_fiu
ZANARDI, SAFFI
XXI APRILE, SARAGOZZA - SAN LUCA
VILLAGGIO DELLA BARCA, BARCA
VIA VITTORIO VENETO, SAFFI
VIA TOSCANA, VIA TOSCANA - S. RUFFILLO - MONTE DONATO
VIA MONDO, SAN DONATO VECCHIO
VIA LARGA, CIRENAICA - MASSARENTI - SCANDELLARA
VIA FERRARESE, BOLOGNINA
VIA DEL VIVAIO, BIRRA - BARGELLINO - LAVINO
VIA DEL LAVORO, SAN DONATO VECCHIO
VIA DEL GENIO, SARAGOZZA - SAN LUCA
VIA ARNO, PONTEVECCHIO - MAZZINI
VELODROMO, SAFFI
TRIUMVIRATO-PIETRA, CASTELDEBOLE - PONTELUNGO
TIRO A SEGNO, BERTALIA - NOCE
STRADELLI GUELFI, CROCE DEL BIACCO - ROVERI
STADIO-MELONCELLO, SARAGOZZA - SAN LUCA
SIEPELUNGA, MURRI
SCANDELLARA, CIRENAICA - MASSARENTI - SCANDELLARA
SCALO RAVONE, SAFFI
SCALO MERCI SAN DONATO, SAN DONATO NUOVO
SAVENA ABBANDONATO, CORTICELLA - DOZZA
SAN SAVINO, CORTICELLA - DOZZA
SAN MICHELE IN BOSCO, OSSERVANZA - PADERNO
SAN LUCA, SARAGOZZA - SAN LUCA
SAN GIUSEPPE, SARAGOZZA - SAN LUCA
SAN DONNINO, SAN DONATO VECCHIO
ROVERI, CROCE DEL BIACCO - ROVERI
RIGOSA, BORGO PANIGALE
RAVONE, SARAGOZZA - SAN LUCA
PRATI DI CAPRARA-OSPEDALE MAGGIORE, SAFFI
PONTEVECCHIO, PONTEVECCHIO - MAZZINI
PONTE SAVENA-LA BASTIA, LUNGO SAVENA
PILASTRO, SAN DONATO NUOVO
PIAZZA DELL'UNITA', BOLOGNINA
PESCAROLA, BERTALIA - NOCE
PADERNO, OSSERVANZA - PADERNO
OSSERVANZA, OSSERVANZA - PADERNO
OSPEDALE SANT'ORSOLA, CIRENAICA - MASSARENTI - SCANDELLARA
OSPEDALE BELLARIA, LUNGO SAVENA
MULINO DEL GOMITO, CORTICELLA - DOZZA
MONTE DONATO, VIA TOSCANA - S. RUFFILLO - MONTE DONATO
MICHELINO, SAN DONATO VECCHIO
MEZZOFANTI, MURRI
MENGOLI, CIRENAICA - MASSARENTI - SCANDELLARA
MARCONI-2, MARCONI
MARCONI-1, MALPIGHI
MALPIGHI-2, MALPIGHI
MALPIGHI-1, MALPIGHI
LUNGO SAVENA, FOSSOLO - DUE MADONNE
LUNGO RENO, BIRRA - BARGELLINO - LAVINO
LAZZARETTO, BERTALIA - NOCE
LAVINO DI MEZZO, BIRRA - BARGELLINO - LAVINO
LAGHETTI DEL ROSARIO, BERTALIA - NOCE
LA NOCE, BERTALIA - NOCE
LA DOZZA, CORTICELLA - DOZZA
LA BIRRA, BIRRA - BARGELLINO - LAVINO
IRNERIO-2, IRNERIO
IRNERIO-1, IRNERIO
GUELFA, CIRENAICA - MASSARENTI - SCANDELLARA
GIARDINI MARGHERITA, MURRI
GALVANI-2, GALVANI
GALVANI-1, GALVANI
FOSSOLO, FOSSOLO - DUE MADONNE
FIERA, SAN DONATO VECCHIO
EX MERCATO ORTOFRUTTICOLO, BOLOGNINA
EMILIA PONENTE, SANTA VIOLA
DUE MADONNE, FOSSOLO - DUE MADONNE
DUCATI-VILLAGGIO INA, BORGO PANIGALE
DAGNINI, MURRI
CROCE DEL BIACCO, CROCE DEL BIACCO - ROVERI
CROCE COPERTA, CORTICELLA - DOZZA
CORELLI, LUNGO SAVENA
CNR, BEVERARA
CIRENAICA, CIRENAICA - MASSARENTI - SCANDELLARA
CHIESANUOVA, MURRI
CAVEDONE, PONTEVECCHIO - MAZZINI
CASTELDEBOLE, CASTELDEBOLE - PONTELUNGO
CASERME ROSSE-MANIFATTURA, CORTICELLA - DOZZA
CANALE DI RENO, BARCA
CADRIANO-CALAMOSCO, SAN DONATO NUOVO
CAAB, SAN DONATO NUOVO
BORGO CENTRO, BORGO PANIGALE
BITONE, PONTEVECCHIO - MAZZINI
BEVERARA, BEVERARA
BATTINDARNO, BARCA
BARGELLINO, BIRRA - BARGELLINO - LAVINO
ARCOVEGGIO, BOLOGNINA
AGUCCHI, SANTA VIOLA
AEROPORTO, BIRRA - BARGELLINO - LAVINO