Hostname,x,y,area statistica,zona di prossimità,geopoint,Attivo
Industria2-1,11.39018,44.50452,VIA LARGA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.50452, 11.39018",Sì
KatiaBertasi-SalaPolivalente,11.3402992486954,44.5114722979245,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5114722979245, 11.3402992486954",Sì
Kilowatt-LatoOrto,11.3494884968,44.4833716376,GIARDINI MARGHERITA,MURRI,"44.4833716376, 11.3494884968",Sì
Kilowatt-LatoPalco,11.3494026661,44.4831420013,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.4831420013, 11.3494026661",Sì
Kilowatt-SalaCoworking-p1,11.3492953777313,44.4832797832019,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.4832797832019, 11.3492953777313",Sì
Kilowatt-SalaCoworking-PT,11.3494026661,44.4832415105,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.4832415105, 11.3494026661",Sì
Lombardia36-1,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-10,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-4,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
MAMBO-C-conferenze,11.3369250298,44.502447432,MARCONI-2,MARCONI,"44.502447432, 11.3369250298",Sì
MAMBO-C-foyer,11.3367533684,44.5025430822,MARCONI-2,MARCONI,"44.5025430822, 11.3367533684",Sì
MercatoSonatoBar,11.36215,44.50208,VIA MONDO,SAN DONATO VECCHIO,"44.50208, 11.36215",Sì
mtik-bolognetti2-2,11.3547670841,44.4939109722,IRNERIO-2,IRNERIO,"44.4939109722, 11.3547670841",Sì
mtik-bolognetti2-3,11.3547670841,44.4939109722,IRNERIO-2,IRNERIO,"44.4939109722, 11.3547670841",Sì
mtik-genova10-2,11.3918352127,44.4741663401,VIA ARNO,PONTEVECCHIO - MAZZINI,"44.4741663401, 11.3918352127",Sì
mtik-gorki10-2-centofiori,11.3600027561,44.5463343994,SAN SAVINO,CORTICELLA - DOZZA,"44.5463343994, 11.3600027561",Sì
mtik-piombo7-1-bib-donne,11.355625391,44.4883047731,GALVANI-2,GALVANI,"44.4883047731, 11.355625391",Sì
mtik-santostefano119-sottotetto,11.3542950153,44.4853196828,GALVANI-2,GALVANI,"44.4853196828, 11.3542950153",Sì
PAL-B-Lab Aperti Uffici 1,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-B-Tassinari,11.342010498,44.4939721974,MALPIGHI-1,MALPIGHI,"44.4939721974, 11.342010498",Sì
PAL-H-CortilePozzo,11.3416779041,44.4942017911,MALPIGHI-1,MALPIGHI,"44.4942017911, 11.3416779041",Sì
PAL-N-Informagiovani,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-N-Lab Aperti Uffici 1,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-Q-Cerimonieri,11.3423484564,44.4942553628,MALPIGHI-1,MALPIGHI,"44.4942553628, 11.3423484564",Sì
PAL-SB-A1-Lab Aperti Bramante,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A1-Sala Biagi S,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A1-ScuderiaW,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A3-SalaIncontri,11.3415920734,44.4947681183,MALPIGHI-1,MALPIGHI,"44.4947681183, 11.3415920734",Sì
PAL-S-TorreMeccanismo,11.34217,44.49364,MALPIGHI-1,MALPIGHI,"44.49364, 11.34217",Sì
PAL-S-TorreTerrazza,11.34217,44.49364,MALPIGHI-1,MALPIGHI,"44.49364, 11.34217",Sì
PAL-U-Lab Aperti Plastico,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
Parco11Settembre,11.3368660212,44.4990804434,MARCONI-2,MARCONI,"44.4990804434, 11.3368660212",Sì
Patrimonio-Industriale-A-Auditorium,11.3344466686,44.5217426472,BEVERARA,BEVERARA,"44.5217426472, 11.3344466686",Sì
PMedaglieDoro,11.34337,44.50527,MARCONI-2,MARCONI,"44.50527, 11.34337",Sì
Populonia2-1,11.3840031624,44.4889400419,FOSSOLO,FOSSOLO - DUE MADONNE,"44.4889400419, 11.3840031624",Sì
Q.Porto-D-Parco,11.3299512863,44.5021834365,ZANARDI,SAFFI,"44.5021834365, 11.3299512863",Sì
Q.SDonato-A-Parco,11.3673949242,44.5049228098,MICHELINO,SAN DONATO VECCHIO,"44.5049228098, 11.3673949242",Sì
Q.SDonato-A-PiazzaSpadolini,11.3673788309,44.5045440494,MICHELINO,SAN DONATO VECCHIO,"44.5045440494, 11.3673788309",Sì
Q.SDonato-A-SalaConsiglio,11.3673841953,44.5047850791,MICHELINO,SAN DONATO VECCHIO,"44.5047850791, 11.3673841953",Sì
Q.SStefano-C-URP,11.3546222448,44.4853120285,GALVANI-2,GALVANI,"44.4853120285, 11.3546222448",Sì
Q.SStefano-E-Consiglio,11.3542950153,44.4853196828,GALVANI-2,GALVANI,"44.4853196828, 11.3542950153",Sì
ReEenzo-e-Extrabo1,11.343110203743,44.4945385268369,GALVANI-1,GALVANI,"44.4945385268369, 11.343110203743",Sì
ReEenzo-e-Extrabo2,11.3429921865463,44.4946112308987,GALVANI-1,GALVANI,"44.4946112308987, 11.3429921865463",Sì
Rimesse1-atrio,11.37307,44.49424,CIRENAICA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.49424, 11.37307",Sì
Sottopasso-mostra-1,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-2,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-4,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-7,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
tnervi-nordest,11.3403260707855,44.5109214347496,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5109214347496, 11.3403260707855",Sì
tnervi-nordovest,11.3396340608597,44.5110017692869,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5110017692869, 11.3396340608597",Sì
tnervi-sudest,11.3402509689331,44.5106153974027,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.5106153974027, 11.3402509689331",Sì
wifi-velostazione-corridoiosud,11.345320344,44.5035340096,IRNERIO-2,IRNERIO,"44.5035340096, 11.345320344",Sì
ap-lepida-8agosto-1,11.34479,44.49991,IRNERIO-2,IRNERIO,"44.49991, 11.34479",Sì
ap-lepida-aldrovandi-1,11.35175,44.49353,IRNERIO-1,IRNERIO,"44.49353, 11.35175",Sì
Archi-B-PGalvani,11.3432121277,44.4917642252,GALVANI-1,GALVANI,"44.4917642252, 11.3432121277",Sì
Archi-B-Stabat,11.3433945179,44.4915728892,GALVANI-1,GALVANI,"44.4915728892, 11.3433945179",Sì
Asinelli-CimaTorre,11.34671,44.49429,IRNERIO-1,IRNERIO,"44.49429, 11.34671",Sì
Asinelli-Ravegnana1,11.3468384742737,44.4942744955343,IRNERIO-1,IRNERIO,"44.4942744955343, 11.3468384742737",Sì
Bolognetti-B-SalaSilentium,11.3549441099,44.493666071,IRNERIO-2,IRNERIO,"44.493666071, 11.3549441099",Sì
Bolognetti-C-SalaConsiglio,11.3546919823,44.4937846952,IRNERIO-2,IRNERIO,"44.4937846952, 11.3546919823",Sì
BON-A01-Ovest,11.339951,44.509636,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.509636, 11.339951",Sì
BON-A03-NOvest,11.339951,44.509636,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.509636, 11.339951",Sì
BON-A04-NOvest,11.339951,44.509636,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.509636, 11.339951",Sì
BON-A05-Ovest,11.339951,44.509636,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.509636, 11.339951",Sì
Caselvatica-A-PianoPrimo,11.33388,44.49238,MALPIGHI-2,MALPIGHI,"44.49238, 11.33388",Sì
Caselvatica-D-PianoTerzo,11.33388,44.49238,MALPIGHI-2,MALPIGHI,"44.49238, 11.33388",Sì
Caselvatica-E-SalaCorsi1,11.33388,44.49238,MALPIGHI-2,MALPIGHI,"44.49238, 11.33388",Sì
Certosa,11.30759,44.49728,CANALE DI RENO,BARCA,"44.49728, 11.30759",Sì
cwmtik-battindarno123-3,11.2967669964,44.5022255228,BATTINDARNO,BARCA,"44.5022255228, 11.2967669964",Sì
cwmtik-battindarno123-4,11.2967669964,44.5022255228,BATTINDARNO,BARCA,"44.5022255228, 11.2967669964",Sì
cwmtik-battindarno123-5,11.2967669964,44.5022255228,BATTINDARNO,BARCA,"44.5022255228, 11.2967669964",Sì
cwmtik-battindarno127-salalivatino,11.2791448832,44.5172292716,BORGO CENTRO,BORGO PANIGALE,"44.5172292716, 11.2791448832",Sì
cwmtik-casaglia7-1,11.3150221109,44.4871719876,RAVONE,SARAGOZZA - SAN LUCA,"44.4871719876, 11.3150221109",Sì
cwmtik-casaglia7-3,11.3151562214,44.4872829709,RAVONE,SARAGOZZA - SAN LUCA,"44.4872829709, 11.3151562214",Sì
cwmtik-casaglia7-5,11.3151562214,44.4872829709,RAVONE,SARAGOZZA - SAN LUCA,"44.4872829709, 11.3151562214",Sì
cwmtik-casaglia7-6,11.3151562214,44.4872829709,RAVONE,SARAGOZZA - SAN LUCA,"44.4872829709, 11.3151562214",Sì
cwmtik-casaglia7-b-2,11.3154351711,44.4879718283,RAVONE,SARAGOZZA - SAN LUCA,"44.4879718283, 11.3154351711",Sì
cwmtik-donminzoni14-ciminiere1,11.3367533684,44.5025430822,MARCONI-2,MARCONI,"44.5025430822, 11.3367533684",Sì
cwmtik-galeazza2-2-aulainformatica,11.2770366669,44.5029180297,CASTELDEBOLE,CASTELDEBOLE - PONTELUNGO,"44.5029180297, 11.2770366669",Sì
cwmtik-libia-2,11.36638,44.49611,CIRENAICA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.49611, 11.36638",Sì
cwmtik-maggiore34-3,11.35023,44.49287,IRNERIO-1,IRNERIO,"44.49287, 11.35023",Sì
cwmtik-maggiore34-4,11.35023,44.49287,IRNERIO-1,IRNERIO,"44.49287, 11.35023",Sì
cwmtik-maggiore34-5,11.35023,44.49287,IRNERIO-1,IRNERIO,"44.49287, 11.35023",Sì
cwmtik-maggiore34-6,11.35023,44.49287,IRNERIO-1,IRNERIO,"44.49287, 11.35023",Sì
cwmtik-musei8-atrio,11.343909502,44.4929351879,GALVANI-1,GALVANI,"44.4929351879, 11.343909502",Sì
cwmtik-musei8-bib-risorgimento,11.3444030285,44.4930117206,GALVANI-1,GALVANI,"44.4930117206, 11.3444030285",Sì
cwmtik-musei8-egizio-1,11.3447088003,44.4928433485,GALVANI-1,GALVANI,"44.4928433485, 11.3447088003",Sì
cwmtik-musei8-egizio-4,11.3447088003,44.4928433485,GALVANI-1,GALVANI,"44.4928433485, 11.3447088003",Sì
cwmtik-musei8-sala101-2,11.3447088003,44.4928433485,GALVANI-1,GALVANI,"44.4928433485, 11.3447088003",Sì
cwmtik-musei8-sala102,11.3447088003,44.4928433485,GALVANI-1,GALVANI,"44.4928433485, 11.3447088003",Sì
cwmtik-musei8-sala111,11.3447088003,44.4928433485,GALVANI-1,GALVANI,"44.4928433485, 11.3447088003",Sì
cwmtik-pietralata58-puntolettura,11.3311260939,44.4946915879,MALPIGHI-2,MALPIGHI,"44.4946915879, 11.3311260939",Sì
cwmtik-rimesse1-SalaRiunioni,11.37307,44.49424,CIRENAICA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.49424, 11.37307",Sì
cwmtik-sacco14-pianoterra,11.3576155901,44.5038592137,VIA DEL LAVORO,SAN DONATO VECCHIO,"44.5038592137, 11.3576155901",Sì
cwmtik-sacco14-salacomputer,11.3573795557,44.5039089506,VIA DEL LAVORO,SAN DONATO VECCHIO,"44.5039089506, 11.3573795557",Sì
cwmtik-scandellara50-4,11.3833272457,44.4968229217,SCANDELLARA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.4968229217, 11.3833272457",Sì
cwmtik-spadolini7-piano2-nord,11.3675451279,44.5045478753,MICHELINO,SAN DONATO VECCHIO,"44.5045478753, 11.3675451279",Sì
cwmtik-tartini1-1,11.3619500399,44.5017396153,VIA MONDO,SAN DONATO VECCHIO,"44.5017396153, 11.3619500399",Sì
cwmtik-tartini1-2,11.3617354631,44.5018084843,VIA MONDO,SAN DONATO VECCHIO,"44.5018084843, 11.3617354631",Sì
Dumbo-C-Centrale,11.3250589370728,44.5052824386685,SCALO RAVONE,SAFFI,"44.5052824386685, 11.3250589370728",Sì
Dumbo-D-Capannone1,11.325520277,44.5056726717,SCALO RAVONE,SAFFI,"44.5056726717, 11.325520277",Sì
Dumbo-D-Capannone2,11.325520277,44.5056726717,SCALO RAVONE,SAFFI,"44.5056726717, 11.325520277",Sì
Faenza2-3,11.388857960701,44.4738103472046,VIA ARNO,PONTEVECCHIO - MAZZINI,"44.4738103472046, 11.388857960701",Sì
Faenza2-5,11.388863325119,44.4739137001927,VIA ARNO,PONTEVECCHIO - MAZZINI,"44.4739137001927, 11.388863325119",Sì
Ferrari42 SalaRiunioni P2,11.3907194138,44.5026731663,VIA LARGA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.5026731663, 11.3907194138",Sì
KatiaBertasi-SalaGrande,11.3400900363922,44.511326931759,EX MERCATO ORTOFRUTTICOLO,BOLOGNINA,"44.511326931759, 11.3400900363922",Sì
Kilowatt-Porticato,11.3491451740265,44.4832453377558,SAN MICHELE IN BOSCO,OSSERVANZA - PADERNO,"44.4832453377558, 11.3491451740265",Sì
LaTorretta,11.357998,44.503652,VIA DEL LAVORO,SAN DONATO VECCHIO,"44.503652, 11.357998",Sì
Lombardia36-11,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-12,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-5,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-7,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
Lombardia36-9,11.380527,44.475128,BITONE,PONTEVECCHIO - MAZZINI,"44.475128, 11.380527",Sì
MAMBO-C-ingresso,11.3369250298,44.502447432,MARCONI-2,MARCONI,"44.502447432, 11.3369250298",Sì
MercatoSonatoPalco,11.36234,44.50186,VIA MONDO,SAN DONATO VECCHIO,"44.50186, 11.36234",Sì
mtik-corticella104-1,11.3476645947,44.5201018079,ARCOVEGGIO,BOLOGNINA,"44.5201018079, 11.3476645947",Sì
mtik-corticella104-2,11.3476645947,44.5201018079,ARCOVEGGIO,BOLOGNINA,"44.5201018079, 11.3476645947",Sì
mtik-galvani1-salaconsultazione2,11.3436251879,44.492211949,GALVANI-1,GALVANI,"44.492211949, 11.3436251879",Sì
mtik-gorki10-3-centofiori,11.3602173328,44.5462158822,SAN SAVINO,CORTICELLA - DOZZA,"44.5462158822, 11.3602173328",Sì
mtik-legnano2-2,11.2658035755,44.5228288651,DUCATI-VILLAGGIO INA,BORGO PANIGALE,"44.5228288651, 11.2658035755",Sì
mtik-piombo7-2-centro-donne,11.355979,44.488518,GALVANI-2,GALVANI,"44.488518, 11.355979",Sì
mtik-scalo21-1,11.3282990456,44.502248479,ZANARDI,SAFFI,"44.502248479, 11.3282990456",Sì
PAL-B-Lab Aperti Sala Verde,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-B-TassinariPiccola,11.342010498,44.4939721974,MALPIGHI-1,MALPIGHI,"44.4939721974, 11.342010498",Sì
PAL-N-Lab Aperti Uffici 2,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
Pal-O-Ercole,11.3423967361,44.4941520458,MALPIGHI-1,MALPIGHI,"44.4941520458, 11.3423967361",Sì
PAL-O-Parentelli,11.3419032097,44.4941520458,MALPIGHI-1,MALPIGHI,"44.4941520458, 11.3419032097",Sì
PAL-O-URP,11.3422894478,44.4939454114,MALPIGHI-1,MALPIGHI,"44.4939454114, 11.3422894478",Sì
Pal-Podesta-BolognaWelcome,11.34309,44.49411,GALVANI-1,GALVANI,"44.49411, 11.34309",Sì
Pal-Podesta-Est,11.3434964418411,44.4939913302001,GALVANI-1,GALVANI,"44.4939913302001, 11.3434964418411",Sì
Pal-Podesta-Nettuno,11.3429170846939,44.4945040880391,GALVANI-1,GALVANI,"44.4945040880391, 11.3429170846939",Sì
PAL-Q3-SalaDentone,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
PAL-Q-Giunta,11.3422411680222,44.4943931184413,MALPIGHI-1,MALPIGHI,"44.4943931184413, 11.3422411680222",Sì
PAL-SB-A1-Sala Biagi N,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A1-Sala Biagi W,11.3419353962,44.4946494962,MALPIGHI-1,MALPIGHI,"44.4946494962, 11.3419353962",Sì
PAL-SB-A2-Ragazzi,11.3419997692,44.4947719448,MALPIGHI-1,MALPIGHI,"44.4947719448, 11.3419997692",Sì
PAL-SB-A3-PiazzaCoperta,11.3415920734,44.4947681183,MALPIGHI-1,MALPIGHI,"44.4947681183, 11.3415920734",Sì
PAL-SB-A3-PrimoBallatoio-SalaStudio,11.3416564465,44.4946303635,MALPIGHI-1,MALPIGHI,"44.4946303635, 11.3416564465",Sì
PAL-SB-A3-ScuderiaE,11.3415920734,44.4947681183,MALPIGHI-1,MALPIGHI,"44.4947681183, 11.3415920734",Sì
PAL-SB-A3-SecondoBallatoioBox,11.341753006,44.4948599546,MALPIGHI-1,MALPIGHI,"44.4948599546, 11.341753006",Sì
PAL-SB-A3-SecondoBallatoioCucine,11.341753006,44.4948599546,MALPIGHI-1,MALPIGHI,"44.4948599546, 11.341753006",Sì
PAL-SB-A3-SecondoBallatoioIngresso,11.341753006,44.4948599546,MALPIGHI-1,MALPIGHI,"44.4948599546, 11.341753006",Sì
PAL-S-TorreBelvedere,11.34217,44.49364,MALPIGHI-1,MALPIGHI,"44.49364, 11.34217",Sì
PAL-S-TorreIngresso,11.34217,44.49364,MALPIGHI-1,MALPIGHI,"44.49364, 11.34217",Sì
PAL-S-TorrePrimoPiano,11.34217,44.49364,MALPIGHI-1,MALPIGHI,"44.49364, 11.34217",Sì
PAL-U-Lab Aperti Mostra,11.34215,44.494087,MALPIGHI-1,MALPIGHI,"44.494087, 11.34215",Sì
Q.Porto-A-SalaConsiglio,11.3293290138,44.5019997868,ZANARDI,SAFFI,"44.5019997868, 11.3293290138",Sì
Rimesse1-uffici,11.37307,44.49424,CIRENAICA,CIRENAICA - MASSARENTI - SCANDELLARA,"44.49424, 11.37307",Sì
Salone-indiano-2,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Salone-indiano-3,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Salone-indiano-4,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
Sottopasso-mostra-5,11.34343,44.49461,GALVANI-1,GALVANI,"44.49461, 11.34343",Sì
wifi-velostazione-bar,11.345320344,44.5035340096,IRNERIO-2,IRNERIO,"44.5035340096, 11.345320344",Sì
wifi-velostazione-corridoionord,11.345320344,44.5035340096,IRNERIO-2,IRNERIO,"44.5035340096, 11.345320344",Sì